order_date,invoice_no,customer_id,customer,product_id,product,category,segment,quantity,unit_cost,unit_price,revenue,cost,margin,ship_date
2026-08-21,4,69,Dazzling Suppliers of Lakewood,20,Gleaming Roll Paper Towels,paper & tissue,segA,2,28,37.8,75.6,56,19.6,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,21,Glossy Facial Tissues,paper & tissue,segA,3,47,64.39,193.17,141,52.17,2026-08-24
21/08/2026,4,69,Dazzling Suppliers of Lakewood,33,Dazzling File Folders,office products,segD,1,26,42.38,42.38,26,16.38,2026-08-24
21/08/2026,4,69,Dazzling Suppliers of Lakewood,76,Immaculate Granola Bars,breakroom supplies,segA,2,10,21.4,42.8,20,22.8,24/08/2026
2026-08-21,4,69,Dazzling Suppliers of Lakewood,89,Sparkling Disposable Cups,breakroom supplies,segA,1,21,44.94,44.94,21,23.94,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,95,Bright Disposable Cups,breakroom supplies,segA,32,13,19.5,624,416,208,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,,Spotless Air Freshener,cleaning supplies,segA,36,49,69.58,2504.88,1764,740.88,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,54,Dazzling Floor Cleaner,cleaning supplies,segA,2,45,80.1,160.2,90,70.2,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,61,Pristine Degreaser,cleaning supplies,segA,18,50,75,1350,900,450,2026-08-24
21/08/2026,5,72,Immaculate Stewards of Valleyport,64,Bright Glass Cleaner,  cleaning supplies ,segA,1,,51.2,51.2,32,19.2,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,70,Sleek Air Freshener,cleaning supplies,segA,8,33,49.5,396,264,132,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,100,Dazzling Legal Size Paper,  copy paper ,segA,3,24,37.92,113.76,,41.76,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,103,Spotless Colored Paper,copy paper,  seAg ,1,45,60.3,60.3,45,15.3,2026-08-24
08-21-2026,5,,Immaculate Stewards of Valleyport,106,Sleek Resume Paper,copy paper,segA,7,,74.4,520.8,336,184.8,08-24-2026
2026-08-21,5,72,Immaculate Stewards of Valleyport,109,Immaculate Resume Paper,,segA,3,31,40.3,120.9,93,27.9,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,,Pristine Cardstock,copy paper,segA,32,42,,1572.48,1344,228.48,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,113,Polished Recycled Paper,copy paper,segA,1,36,57.24,57.24,36,21.24,2026-08-24
2026-08-21,5,72,Immaculate Stewards of Valleyport,114,Glossy Recycled Paper,copy paper,segA,5,32,50.88,254.4,160,94.4,2026-08-24
08/21/2026,5,72,  Immaculate Stewards of Valleyport ,116,Immaculate Legal Size Paper,copy paper,segA,2,59,79.65,159.3,118,41.3,2026-08-24
2026-08-21,6,79,Fresh Suppliers of Mapleton,24,Sparkling Pocket Tissues,paper & tissue,segB,1,18,26.46,26.46,,8.46,2026-08-24
2026-08-21,6,79,Fresh Suppliers of Mapleton,101,Radiant Colored Paper,copy paper,segA,3,60,85.8,257.4,180,77.4,2026-08-24
2026-08-21,6,79,Fresh Suppliers of Mapleton,102,Sleek Resume Paper,,segA,5,26,35.62,178.1,130,48.1,2026-08-24
2026-08-21,6,79,Fresh Suppliers of Mapleton,106,Sleek Resume Paper,copy paper,segA,5,48,75.36,376.8,,,2026-08-24
2026-08-21,6,79,Fresh Suppliers of Mapleton,109,Immaculate Resume Paper,copy paper,segA,1,31,49.6,49.6,31,18.6,2026-08-24
08-21-2026,6,79,Fresh Suppliers of Mapleton,114,Glossy Recycled Paper,copy paper,segA,1,32,50.88,50.88,32,18.88,2026-08-24
2026-08-21,7,86,Bright Janitors of Graniteburg,9,Fresh Kitchen Towels,paper & tissue,segB,1,33,50.49,50.49,33,17.49,08-24-2026
2026-08-21,7,86,Bright Janitors of Graniteburg,21,Glossy Facial Tissues,paper & tissue,segB,1,47,72.85,72.85,47,25.85,2026-08-24
2026-08-21,7,86,Bright Janitors of Grantieburg,51,Bright Glass Cleaner,cleaning supplies,segD,,26,52.52,52.52,26,26.52,2026-08-24
2026-08-21,8,88,Fresh Providers of Mountcrest,1,Sleek Party Napkins,paper & tissue,segA,13,29,43.21,561.73,377,184.73,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,3,Sparkling Party Napkins,paper & tissue,segA,17,21,30.87,524.79,357,167.79,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,6,Pristine Bathroom Tissue,paper & tissue,segA,15,19,28.12,421.8,285,136.8,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,7,Gleaming Bathroom Tissue,paper & tissue,segA,16,16,23.68,378.88,256,122.88,2026-09-07
21/08/2026,8,88,Fresh Providers of Mountcrest,8,Bright Party Napkins,paper & tissue,segA,18,50,72,1296,900,396,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,22,Sparkling Pocket Tissues,paper & tissue,segA,23,41,53.3,1225.9,943,282.9,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,32,Bright Desk Organizers,office products,segC,5,44,74.36,371.8,220,151.8,2026-09-07
2026-08-21,8,88,Fresh Providers ofM ountcrest,74,Pristine Energy Drinks,breakroom supplies,segA,6,15,27.15,162.9,90,72.9,2026-09-07
08-21-2026,8,88,Fresh Providers of Mountcrest,90,Dazzling Instant Soups,breakroom supplies,segA,8,24,48.96,391.68,192,199.68,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,95,Bright Disposable Cups,breakroom supplies,segA,7,13,24.83,173.81,91,82.81,2026-09-07
2026-08-21,8,88,Fresh Providers of Mountcrest,96,Dazzling Disposable Cups,breakroom supplies,segA,6,19,37.24,223.44,114,109.44,09-07-2026
2026-08-21,8,88,Fresh Providers of Mountcrest,112,,copy paper,,1,46,75.44,75.44,46,29.44,2026-09-07
2026-08-21,9,94,Bright Maintainers of Mountridge,19,Fresh Party Napkins,paper & tissue,segD,1,45,73.35,73.35,45,28.35,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,32,Bright Desk Organizers,office products,segA,1,44,58.52,58.52,44,14.52,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,44,Gleaming Recycled Paper,office products,segA,3,34,54.4,163.2,102,61.2,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,45,Immaculate Staplers,office products,segA,1,50,69,69,50,19,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,57,Glossy All-Purpose Cleaner,cleaning supplies,segA,1,51,90.78,90.78,51,39.78,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,59,Spotless All-Purpose Cleaner,cleaning supplies,segA,3,47,85.54,256.62,,115.62,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,60,Polished Degreaser,cleaning supplies,segA,1,26,49.4,49.4,26,23.4,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,63,,cleaning supplies,segA,2,42,73.5,147,84,63,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,66,Radiant Glass Cleaner,cleaning supplies,segA,3,21,39.69,119.07,63,56.07,2026-08-31
,9,94,Bright Maintainers of Mountridge,69,Gleaming Degreaser,cleaning supplies,segA,2,27,48.87,97.74,54,43.74,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,70,Sleek Air Freshener,cleaning supplies,segA,3,33,59.73,179.19,99,80.19,2026-08-31
2026-08-21,9,94,Bright Maintainers of Mountridge,71,Spotless Glass Cleaner,cleaning supplies,segA,2,31,53.63,107.26,62,45.26,2026-08-31
08-21-2026,10,,Sparkling Custodians of Riverburg,2,Glossy Party Napkins,paper & tissue,segA,1,29,40.31,40.31,29,11.31,2026-08-24
2026-08-21,10,,Sparkling Custodians of Riverburg,6,Pristine Bathroom Tissue,paper & tissue,segA,3,19,24.89,74.67,57,17.67,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,14,Spotless Pocket Tissues,,segA,3,20,29.4,88.2,60,28.2,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,16,Dazzling Bahtroom Tissue,paper & tissue,,2,42,57.12,114.24,84,30.24,
21/08/2026,10,110,Sparkling Custodians of Riverburg,55,Spotless Floor Cleaner,cleaning supplies,,11,29,43.5,478.5,319,159.5,2026-08-24
2026-08-21,,110,Sparkling Custodians of Riverburg,56,Pristine Citrus Cleaner,cleaning supplies,segA,1,48,83.52,83.52,48,35.52,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,68,Dazzling Disinfectant Wipes,cleaning supplies,segA,2,54,93.96,187.92,108,79.92,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,71,Spotless Glass Cleaner,cleaning supplies,segA,14,31,46.5,651,434,217,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,75,Fresh Microwave Popcorn,breakroom supplies,segA,1,18,37.08,37.08,18,19.08,2026-08-24
08/21/2026,10,110,Sparkling Custodians of Riverburg,78,Glossy Creamers,breakroom supplies,segA,1,27,55.89,55.89,27,28.89,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,81,Polished Stirrers,breakroom supplies,segA,1,22,42.24,42.24,22,20.24,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,82,Pristine Granola Bars,  breakroom supplies ,segA,1,26,48.62,48.62,26,22.62,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,83,Spotless Energy Drinks,breakroom supplies,segA,1,26,49.4,49.4,26,23.4,08/24/2026
2026-08-21,10,110,Sparkling Custodians of Riverburg,87,Glossy Tea Selection,breakroom supplies,segA,1,11,22,22,11,11,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,90,Dazzling Instant Soups,breakroom supplies,segA,1,24,,42.24,24,18.24,2026-08-24
2026-08-21,10,,Sparkling Custodians of Riverburg,105,,copy paper,segC,1,52,82.68,82.68,52,30.68,08/24/2026
2026-08-21,10,110,Sparkling Custodians of Riverburg,106,Sleek Resume Paper,copy paper,segC,1,48,70.56,70.56,48,22.56,2026-08-24
2026-08-21,10,110,Sparkling Custodians of Riverburg,113,Polished Recycled Paper,copy paper,segC,1,36,52.56,52.56,36,16.56,
2026-08-21,11,127,Immaculate Janitors of Canyonfield,25,Dazzling Binder Clips,office products,segA,2,45,62.1,124.2,90,34.2,
2026-08-21,11,127,Immaculate Janitors of Canyonfield,26,Radiant Sticky Notes,office products,segA,,34,45.9,137.7,102,35.7,24/08/2026
2026-08-21,11,127,Immaculate Janitors of Canyonfield,34,Radiant Staplers,office products,segA,5,24,38.16,190.8,120,70.8,2026-08-24
2026-08-21,11,127,Immaculate Janitors of Canyonfield,41,,office products,segA,1,46,68.54,68.54,46,22.54,2026-08-24
2026-08-21,11,127,Immaculate Janitors of Canyonfield,43,Fresh File Folders,office products,segA,3,50,68,204,150,54,24/08/2026
2026-08-21,11,127,Immaculate Janitors of Canyonfield,59,Spotless All-Purpose Cleaner,,segA,2,47,89.3,178.6,94,84.6,2026-08-24
2026-08-21,11,127,Immaculate Janitors of Canyonfield,60,Polished Degreaser,cleaning supplies,segA,25,26,39,975,650,325,08-24-2026
2026-08-21,11,127,Immaculate Janitors of Canyonfield,63,Polished Glass Cleaner,cleaning supplies,segA,2,42,79.38,158.76,84,74.76,2026-08-24
2026-08-21,11,127,Immaculate Janitors of Canyonfield,71,Spotless Glass Cleaner,cleaning supplies,segA,1,31,58.28,58.28,31,27.28,
2026-08-21,12,137,Fresh Stewards of Gardenfield,17,  Glossy Lunch Napkins ,paper & tissue,segA,47,31,37.2,1748.4,1457,291.4,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,19,Fresh Party Napkins,paper & tissue,segA,1,45,60.75,60.75,45,15.75,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,20,Gleaming Roll Paper Towels,paper & tissue,segA,2,28,38.64,77.28,56,21.28,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,23,Dazzling Roll Paper Towels,paper & tissue,segA,2,40,,109.6,80,29.6,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,32,Bright Desk Organizers,office products,segC,1,44,69.52,69.52,44,25.52,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,40,Immaculate Markers,office products,segC,1,,54.4,54.4,34,20.4,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,53,Glossy Glass Cleaner,cleaning supplies,segA,1,36,61.92,61.92,36,25.92,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,57,Glossy All-Purpose Cleaner,cleaning supplies,segA,2,51,82.11,164.22,102,62.22,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,66,Radiant Glass Cleaner,cleaning supplies,segA,1,21,38.64,38.64,21,17.64,2026-08-24
08-21-2026,12,137,Fresh Stewards of Gardenfield,70,Sleek Air Freshener,cleaning supplies,segA,2,33,58.08,116.16,,50.16,2026-08-24
2026-08-21,12,137,Fresh Stewards of Gardenfield,72,Gleaming Glass Cleaner,cleaning supplies,segA,1,23,39.33,39.33,23,16.33,2026-08-24
2026-08-21,13,140,Spotless Servicers of Valleywood,,Sleek Party Napkins,paper & tissue,segA,1,29,,42.34,29,13.34,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,3,Sparkling Party Napkins,paper & tissue,segA,,21,28.98,,42,15.96,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,14,Spotless Pocket Tissues,paper & tissue,,3,20,27,81,60,21,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,16,Dazzling Bathroom Tissue,paper & tissue,segA,2,42,57.54,115.08,84,31.08,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,18,Pristine Lunch Napkins,paper & tissue,segA,3,20,26.4,79.2,60,19.2,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,20,Gleaming Roll Paper Towels,paper & tissue,segA,6,28,38.08,228.48,168,60.48,2026-08-31
2026-08-21,13,140,,28,Immaculate Binder Clips,office products,segA,5,29,38.57,192.85,145,47.85,2026-08-31
08/21/2026,13,140,Spotless Servicers of Valleywood,29,Dazzling Paper Clips,  office products ,segA,4,37,55.5,222,148,74,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,31,Polished Highlighters,office products,segA,1,17,24.31,24.31,17,7.31,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,33,Dazzling File Folders,office products,segA,2,26,34.32,68.64,52,16.64,2026-08-31
,,140,Spotless Servicers of Valleywood,36,Glossy Staplers,office products,segA,2,50,76,152,100,52,
2026-08-21,13,140,Spotless Servicers of Valleywood,39,Immaculate Sticky Notes,office products,segA,3,34,52.02,156.06,102,54.06,08-31-2026
2026-08-21,13,140,Spotless Servicers of Valleywood,42,Polished Markers,office products,segA,5,28,38.36,191.8,140,51.8,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,46,Spotless Desk Organizers,office products,segA,3,33,50.49,151.47,99,52.47,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,49,Sparkling Disinfectant Wipes,cleaning supplies,segA,,21,37.38,37.38,21,16.38,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,54,Dazzling Floor Cleaner,cleaning supplies,segA,2,45,75.6,151.2,90,61.2,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,55,,cleaning supplies,segA,1,29,53.07,53.07,29,24.07,2026-08-31
2026-08-21,13,140,,61,Pristine Degreaser,cleaning supplies,segA,1,,81.5,81.5,50,31.5,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,66,Radiant Glass Cleaner,cleaning supplies,  segA ,2,21,36.33,72.66,42,30.66,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,71,Spotless Glass Cleaner,cleaning supplies,segA,2,31,49.91,99.82,62,37.82,2026-08-31
2026-08-21,13,140,Spotless Servicers of Valleywood,72,Gleaming Glass Cleaner,cleaning supplies,segA,2,23,42.32,84.64,46,38.64,2026-08-31
08/21/2026,13,140,Spotless Servicers of Valleywood,,Gleaming Coffee Beans,breakroom supplies,segD,1,18,42.12,42.12,18,24.12,2026-08-31
08/21/2026,14,159,Spotless Wholesalers of Graniteton,2,Glossy Party Napkins,  paper & tissue ,segB,1,29,45.53,45.53,29,16.53,2026-08-24
2026-08-21,14,159,Spotless Wholesalers of Graniteton,8,Bright Party Napkins,paper & tissue,segB,1,50,78.5,78.5,50,28.5,2026-08-24
2026-08-21,14,159,Spotless Wholesalers of Graniteton,56,Pristine Citrus Cleaner,,segC,1,48,87.84,87.84,48,39.84,2026-08-24
2026-08-21,14,159,Spotless Wholesalers of Graniteton,112,Sparkling Letter Size Paper,copy paper,  segA ,,46,71.3,499.1,322,177.1,2026-08-24
2026-08-21,14,159,Spotless Wholesalers of Graniteton,114,Glossy Recycled Paper,copy paper,segA,5,32,50.24,251.2,160,91.2,2026-08-24
2026-08-21,14,159,Spotless Wholesalers of Graniteton,119,,copy paper,segA,6,44,59.4,356.4,264,92.4,08-24-2026
08/21/2026,15,173,Immaculate Janitors of Gardenfield,4,Bright Bathroom Tissue,paper & tissue,segB,2,26,38.74,77.48,52,25.48,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,57,Glossy All-Purpose Cleaner,cleaning supplies,segA,1,51,88.74,88.74,51,37.74,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,59,Spotless All-Purpose Cleaner,cleaning supplies,segA,1,47,85.07,85.07,47,38.07,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,70,Sleek Air Freshener,cleaning supplies,segA,2,33,59.07,118.14,66,52.14,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,71,Spotless Glass Cleaner,cleaning supplies,segA,1,31,56.73,56.73,31,25.73,24/08/2026
2026-08-21,15,173,Immaculate Janitors of Gardenfield,72,Gleaming Glass Cleaner,cleaning supplies,segA,1,23,38.87,38.87,23,15.87,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,80,Spotless Instant Soups,breakroom supplies,segA,1,17,28.9,28.9,17,11.9,2026-08-24
08-21-2026,15,173,Immaculate Janitors of Gardenfield,88,Gleaming Coffee Beans,breakroom supplies,segA,1,18,34.02,34.02,18,16.02,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,89,Sparkling Disposable Cups,breakroom supplies,segA,2,21,40.53,81.06,42,,2026-08-24
2026-08-21,15,173,Immaculate Janitors of Gardenfield,95,Bright Disposable Cups,breakroom supplies,segA,1,13,23.14,23.14,13,10.14,2026-08-24
2026-08-21,16,175,Radiant Facilities of Cedarcrest,10,Pristine 2-Ply Toilet Paper,paper & tissue,segD,1,26,44.46,,26,18.46,24/08/2026
2026-08-21,16,175,Radiant Facilities of Cedarcrest,29,Dazzling Paper Clips,office products,segC,1,37,58.46,58.46,37,21.46,2026-08-24
,16,175,Radiant Facilities of Cedarcrest,49,Sparkling Disinfectant Wipes,cleaning supplies,  segA ,2,21,37.8,75.6,42,33.6,2026-08-24
08/21/2026,16,175,Radiant Facilities of Cedarcrest,50,Bright GlassC leaner,cleaning supplies,segA,1,23,42.55,42.55,23,19.55,
2026-08-21,16,175,Radiant Facilities of Cedarcrest,52,SpotlessA ir Freshener,cleaning supplies,segA,3,,88.69,266.07,147,119.07,2026-08-24
2026-08-21,16,175,Radiant Facilities of Cedarcrest,67,Sleek Citrus Cleaner,cleaning supplies,segA,26,39,,1439.88,1014,425.88,2026-08-24
2026-08-21,16,175,Radiant Facilities of Cedarcrest,68,Dazzling Disinfectant Wipes,  cleaning supplies ,segA,1,54,99.36,99.36,54,45.36,2026-08-24
2026-08-21,16,175,Radiant Facilities of Cedarcrest,72,Gleaming Glass Cleaner,cleaning supplies,,1,23,39.79,,23,16.79,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,2,  Glossy Party Napkins ,paper & tissue,segA,3,29,40.02,120.06,87,33.06,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,4,Bright Bathroom Tissue,paper & tissue,segA,34,26,29.9,1016.6,884,132.6,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,11,Fresh Lunch Napkins,paper & tissue,sgeA,1,21,28.77,28.77,21,7.77,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,14,Spotless Pocket Tissues,,segA,2,,26.8,53.6,40,13.6,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,16,Dazzling Bathroom Tissue,paper & tissue,segA,3,42,57.12,171.36,126,45.36,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,,Fresh Party Napkins,paper & tissue,segA,6,45,59.85,359.1,270,89.1,24/08/2026
08/21/2026,17,182,Glossy Wholesalers of Forestridge,21,Glossy Facial Tissues,paper & tissue,segA,5,47,64.39,321.95,235,86.95,2026-08-24
,17,182,Glossy Wholesalers of Forestridge,59,Spotless All-Purpose Cleaner,cleaning supplies,segC,1,47,80.84,80.84,47,33.84,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,71,Spotless Glass Cleaner,cleaning supplies,segC,1,31,57.97,57.97,31,26.97,2026-08-24
2026-08-21,17,182,  Glossy Wholesalers of Forestridge ,100,Dazzling Legal Size Paper,copy paper,segA,2,24,31.92,63.84,48,15.84,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,110,Pristine Cardstock,copy paper,segA,1,42,62.58,62.58,42,20.58,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,111,Glossy Recycled Paper,copy paper,,3,54,71.82,215.46,162,53.46,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,113,Polished Recycled Paper,copy paper,segA,2,36,52.92,105.84,72,33.84,2026-08-24
08/21/2026,17,182,Glossy Wholesalers of Forestridge,116,Immaculate Legal Size Paper,copy paper,segA,6,59,89.68,538.08,354,184.08,2026-08-24
2026-08-21,17,182,Glossy Wholesalers of Forestridge,117,Dazzling Graph Paper,copy paper,segA,5,51,68.85,344.25,255,89.25,24/08/2026
2026-08-21,17,182,Glossy Wholesalers of Forestridge,120,Sparkling Letter Size Paper,copy paper,segA,2,45,,118.8,90,28.8,2026-08-24
2026-08-21,18,209,Bright Maintainers of Lakeville,2,Glossy Party Napkins,paper & tissue,segA,13,29,40.02,520.26,377,143.26,2026-08-24
